ranch,field_id,year,crop,variety,planting_date,harvest_date,crop_system,prior_crop,yield_70pct_tac,yield_asreported_tac,moisture_asreported,dm_pct,lagoon_ac_in,sidedress_n_units,sulfur_at_sidedress,manure_tac,notes
hamstra,14,2023,corn_silage,,,,double_crop,,33.0,33.0,0.7,,,,,,
hamstra,15,2023,corn_silage,,,,double_crop,,41.02,41.02,0.7,,,,,,
hamstra,16,2023,corn_silage,,,,double_crop,,34.54,34.54,0.7,,,,,,
hamstra,18,2023,corn_silage,,,,double_crop,,39.88,39.88,0.7,,,,,,
hamstra,20,2023,corn_silage,,,,double_crop,,35.01,35.01,0.7,,,,,,
hamstra,23,2023,corn_silage,,,,double_crop,,34.21,34.21,0.7,,,,,,
hamstra,26&27,2023,corn_silage,,,,double_crop,,32.38,32.38,0.7,,,,,,
hamstra,28,2023,corn_silage,,,,double_crop,,36.64,36.64,0.7,,,,,,
hamstra,29,2023,corn_silage,,,,double_crop,,35.2,35.2,0.7,,,,,,
hamstra,32,2023,corn_silage,,,,double_crop,,37.86,37.86,0.7,,,,,,
hamstra,33,2023,corn_silage,,,,double_crop,,37.84,37.84,0.7,,,,,,
hamstra,34,2023,corn_silage,,,,double_crop,,34.29,34.29,0.7,,,,,,
hamstra,36,2023,corn_silage,,,,double_crop,,34.64,34.64,0.7,,,,,,
hamstra,41,2023,corn_silage,,,,double_crop,,35.41,35.41,0.7,,,,,,
hamstra,42,2023,corn_silage,,,,double_crop,,32.56,32.56,0.7,,,,,,
hamstra,C2,2023,corn_silage,,,,double_crop,,35.54,35.54,0.7,,,,,,
hamstra,C5,2023,corn_silage,,,,double_crop,,39.6,39.6,0.7,,,,,,
hamstra,D1,2023,corn_silage,,,,double_crop,,30.49,30.49,0.7,,,,,,
hamstra,6,2023,corn_silage,,,,early_single,,39.6,39.6,0.7,,,,,,
hamstra,35,2023,corn_silage,,,,early_single,,38.72,38.72,0.7,,,,,,
hamstra,C4,2023,corn_silage,,,,early_single,,43.64,43.64,0.7,,,,,,
hamstra,5,2024,corn_silage,,,,double_crop,,31.58,29.61,0.68,,,,,,
hamstra,6,2024,corn_silage,,,,double_crop,,32.7,30.66,0.68,,,,,,
hamstra,7,2024,corn_silage,,,,double_crop,,28.58,26.79,0.68,,,,,,
hamstra,8,2024,corn_silage,,,,double_crop,,29.23,27.4,0.68,,,,,,
hamstra,10,2024,corn_silage,,,,double_crop,,26.19,24.55,0.68,,,,,,
hamstra,11,2024,corn_silage,,,,double_crop,,25.02,23.46,0.68,,,,,,
hamstra,14,2024,corn_silage,,,,double_crop,,33.81,31.7,0.68,,,,,,
hamstra,15,2024,corn_silage,,,,double_crop,,32.76,30.71,0.68,,,,,,
hamstra,16,2024,corn_silage,,,,double_crop,,26.85,25.17,0.68,,,,,,
hamstra,18,2024,corn_silage,,,,double_crop,,30.44,28.54,0.68,,,,,,
hamstra,23,2024,corn_silage,,,,double_crop,,31.46,29.49,0.68,,,,,,
hamstra,24&25,2024,corn_silage,,,,double_crop,,38.29,35.9,0.68,,,,,,
hamstra,26&27,2024,corn_silage,,,,double_crop,,24.74,23.19,0.68,,,,,,
hamstra,28,2024,corn_silage,,,,double_crop,,34.5,32.34,0.68,,,,,,
hamstra,29,2024,corn_silage,,,,double_crop,,28.76,26.96,0.68,,,,,,
hamstra,32,2024,corn_silage,,,,double_crop,,32.07,30.07,0.68,,,,,,
hamstra,33,2024,corn_silage,,,,double_crop,,33.63,31.53,0.68,,,,,,
hamstra,34,2024,corn_silage,,,,double_crop,,32.8,30.75,0.68,,,,,,
hamstra,35,2024,corn_silage,,,,double_crop,,32.46,30.43,0.68,,,,,,
hamstra,36,2024,corn_silage,,,,double_crop,,28.16,26.4,0.68,,,,,,
hamstra,41,2024,corn_silage,,,,double_crop,,33.89,31.77,0.68,,,,,,
hamstra,C2,2024,corn_silage,,,,double_crop,,32.37,30.35,0.68,,,,,,
hamstra,C4,2024,corn_silage,,,,double_crop,,33.51,31.42,0.68,,,,,,
hamstra,D1,2024,corn_silage,,,,double_crop,,32.19,30.18,0.68,,,,,,
hamstra,31N,2024,corn_silage,,,,early_single,,48.43,45.4,0.68,,,,,,
hamstra,C5,2024,corn_silage,,,,early_single,,37.72,35.36,0.68,,,,,,
hamstra,5,2025,corn_silage,,,,double_crop,,34.77,32.6,0.68,,,,,,
hamstra,6,2025,corn_silage,,,,double_crop,,38.29,35.9,0.68,,,,,,
hamstra,7,2025,corn_silage,,,,double_crop,,36.69,34.4,0.68,,,,,,
hamstra,8,2025,corn_silage,,,,double_crop,,37.97,35.6,0.68,,,,,,
hamstra,9,2025,corn_silage,,,,double_crop,,42.03,39.4,0.68,,,,,,
hamstra,11,2025,corn_silage,,,,double_crop,,33.26,31.18,0.68,,,,,,
hamstra,14,2025,corn_silage,,,,double_crop,,32.19,30.18,0.68,,,,,,
hamstra,15,2025,corn_silage,,,,double_crop,,36.69,34.4,0.68,,,,,,
hamstra,17,2025,corn_silage,,,,double_crop,,38.61,36.2,0.68,,,,,,
hamstra,18,2025,corn_silage,,,,double_crop,,42.99,40.3,0.68,,,,,,
hamstra,21,2025,corn_silage,,,,double_crop,,35.09,32.9,0.68,,,,,,
hamstra,23,2025,corn_silage,,,,double_crop,,33.81,31.7,0.68,,,,,,
hamstra,24&25,2025,corn_silage,,,,double_crop,,37.01,34.7,0.68,,,,,,
hamstra,29,2025,corn_silage,,,,double_crop,,35.52,33.3,0.68,,,,,,
hamstra,33,2025,corn_silage,,,,double_crop,,36.05,33.8,0.68,,,,,,
hamstra,34,2025,corn_silage,,,,double_crop,,34.99,32.8,0.68,,,,,,
hamstra,35,2025,corn_silage,,,,double_crop,,30.83,28.9,0.68,,,,,,
hamstra,36,2025,corn_silage,,,,double_crop,,30.83,28.9,0.68,,,,,,
hamstra,40,2025,corn_silage,,,,double_crop,,40.85,38.3,0.68,,,,,,
hamstra,41,2025,corn_silage,,,,double_crop,,37.23,34.9,0.68,,,,,,
hamstra,C1,2025,corn_silage,,,,double_crop,,40.75,38.2,0.68,,,,,,
hamstra,C2,2025,corn_silage,,,,double_crop,,35.2,33.0,0.68,,,,,,
hamstra,C4,2025,corn_silage,,,,double_crop,,37.55,35.2,0.68,,,,,,
hamstra,D1,2025,corn_silage,,,,double_crop,,34.24,32.1,0.68,,,,,,
hamstra,16,2025,corn_silage,,,,early_single,,47.47,44.5,0.68,,,,,,
hamstra,28,2025,corn_silage,,,,early_single,,46.83,43.9,0.68,,,,,,
hamstra,31N,2025,corn_silage,,,,early_single,,45.44,42.6,0.68,,,,,,
hamstra,9,2026,corn_silage,1718,2026-03-16,,early_single,,43.37,40.66,0.68,,,,,20,chopped 7/15-7/21; Na 30.2->18.5 %SPe after Jan fresh pre-irrigation; first 40+ T field
hamstra,29,2026,corn_silage,1718,2026-03-17,,early_single,,41.95,39.33,0.68,,,,,,"manure water 5/7, 6/1; EC 2.88 post-harvest; to alfalfa fall 2026"
hamstra,36,2026,corn_silage,1718,2026-03-18,,early_single,,37.4,35.06,0.68,,,,,,manure water 6/1; N/S split 301 vs 119 lb residual; tillage trial N half no roller; to alfalfa fall 2026
hamstra,24&25,2026,corn_silage,1718,2026-03-23,,early_single,,39.66,37.18,0.68,,,,,,"25 half ran dry: ~39 lb N, S LOW, B LOW post-harvest"
tevelde,1,2025,corn_silage,1718,,,,,39.3,39.3,0.7,,,,,,
tevelde,2,2025,corn_silage,1718,,,,,39.7,39.7,0.7,,,,,,
tevelde,4,2025,corn_silage,1718,,,,,34.6,34.6,0.7,,,,,,
tevelde,7,2025,corn_silage,1718,,,,,32.4,32.4,0.7,,,,,,
tevelde,9,2025,corn_silage,2089,,,,,34.5,34.5,0.7,,,,,,
tevelde,10,2025,corn_silage,2089,,,,,32.9,32.9,0.7,,,,,,
tevelde,11,2025,corn_silage,1718,,,,,35.5,35.5,0.7,,,,,,
tevelde,15,2025,corn_silage,2089,,,,,35.0,35.0,0.7,,,,,,
tevelde,16,2025,corn_silage,2089,,,,,35.0,35.0,0.7,,,,,,
tevelde,19,2025,corn_silage,2089,,,,,28.9,28.9,0.7,,,,,,
tevelde,20S,2025,corn_silage,1718,,,,,28.8,28.8,0.7,,,,,,
tevelde,18,2026,corn_silage,18986,2026-03-18,,single,wheat,48.11,45.1,0.68,32.0,,,,,operation record; pre-sludge soil sample; spotty stand; 80 ac; from Adam te Velde DM & Billing sheet (billing basis 35% DM)
tevelde,12,2026,corn_silage,1718,2026-03-24,,single,wheat,44.05,41.3,0.68,32.0,,,,,12 ac; from Adam te Velde DM & Billing sheet (billing basis 35% DM)
tevelde,R1-R4,2026,corn_silage,1718,2026-03-24,,single,wheat,42.99,40.3,0.68,32.0,,,,,"Dairy billing line = R1-R4 combined, 47 ac; 47 ac; from Adam te Velde DM & Billing sheet (billing basis 35% DM)"
tevelde,20N,2026,corn_silage,1718,2026-03-25,,single,wheat,40.64,38.1,0.68,32.0,,,,,80 ac; from Adam te Velde DM & Billing sheet (billing basis 35% DM)
tevelde,R5,2026,corn_silage,1718,2026-03-12,,single,wheat,39.68,37.2,0.68,32.0,,,,,81 ac; from Adam te Velde DM & Billing sheet (billing basis 35% DM)
tevelde,14,2026,corn_silage,1718,2026-03-16,,single,wheat,39.57,37.1,0.68,32.0,,,,,37 ac; from Adam te Velde DM & Billing sheet (billing basis 35% DM)
tevelde,3N,2026,corn_silage,1718,2026-03-16,,single,wheat,39.25,36.8,0.68,32.0,,,,,36 ac; from Adam te Velde DM & Billing sheet (billing basis 35% DM)
tevelde,13,2026,corn_silage,1718,2026-03-23,,single,wheat,39.04,36.6,0.68,32.0,,,,,36 ac; from Adam te Velde DM & Billing sheet (billing basis 35% DM)
tevelde,5,2026,corn_silage,2089,2026-03-17,,single,wheat,39.04,36.6,0.68,32.0,,,,,94 ac; from Adam te Velde DM & Billing sheet (billing basis 35% DM)
tevelde,8,2026,corn_silage,1718,2026-03-11,,single,wheat,38.83,36.4,0.68,32.0,,,,,78 ac; from Adam te Velde DM & Billing sheet (billing basis 35% DM)
tevelde,10,2026,corn_silage,1718,2026-03-25,,single,wheat,37.97,35.6,0.68,32.0,,,,,85 ac; from Adam te Velde DM & Billing sheet (billing basis 35% DM)
tevelde,R14,2026,corn_silage,2089,2026-03-19,,single,wheat,36.91,34.6,0.68,32.0,,,,,85 ac; from Adam te Velde DM & Billing sheet (billing basis 35% DM)
tevelde,3S,2026,corn_silage,1718,2026-03-21,,single,wheat,36.69,34.4,0.68,32.0,,,,,17 ac; from Adam te Velde DM & Billing sheet (billing basis 35% DM)
tevelde,17,2026,corn_silage,1718,2026-03-21,,single,wheat,36.48,34.2,0.68,32.0,,,,,94 ac; from Adam te Velde DM & Billing sheet (billing basis 35% DM)
correia,V15,2025,corn_silage,1718,,,,,42.02,42.02,0.7,,,,,,yr 1 post-alfalfa; 200u sidedress 5/5 + water-run; total N ~240-250u
correia,V5,2025,corn_silage,17677,,,,,31.76,31.76,0.7,,,,,,
correia,V14,2025,corn_silage,1718,,,,,29.5,29.5,0.7,,,,,,
correia,V8,2025,corn_silage,1718,,,,,31.7,31.7,0.7,,,,,,
correia,A1,2025,corn_silage,2089,,,,,38.26,38.26,0.7,,,,,,
correia,V7,2025,corn_silage,1718,,,,,31.84,31.84,0.7,,,,,,
correia,A4,2025,corn_silage,2089,,,,,33.76,33.76,0.7,,,,,,
correia,V15,2026,corn_silage,1718,2026-03-24,2026-07-20,early_single,alfalfa,38.9,38.9,0.7,,,,,,36 ac; 20 T manure; yr 2 post-alfalfa; 150u sidedress 4/21 + 2x17.5u water-runs
correia,V5,2026,corn_silage,17677,2026-03-20,2026-07-09,early_single,,37.26,37.26,0.7,,,,,,71 ac; lagoon x2; cut ~7-8 days short of GDD target
correia,V14,2026,corn_silage,1718,2026-03-18,2026-07-13,early_single,,34.83,34.83,0.7,,,,,,"44 ac; 20 T manure + sulfur; rehabilitation field, +5.3 gain"
correia,V8,2026,corn_silage,1718,2026-03-19,2026-07-08,early_single,,34.14,34.14,0.7,,,,,,74 ac; 20 T manure; cut ~8 days short of GDD target
correia,A1,2026,corn_silage,2089,2026-03-14,2026-07-13,early_single,,33.31,33.31,0.7,,,,,,38 ac; 20 T manure; unexplained A-block drop (-5.0)
correia,V7,2026,corn_silage,1718,2026-03-23,2026-07-20,early_single,alfalfa,30.78,30.78,0.7,,,,,,"48 ac; lagoon x1 + SLUDGE; sludge diagnosis, EC 1.55"
correia,A4,2026,corn_silage,2089,2026-03-14,2026-07-13,early_single,,28.87,28.87,0.7,,,,,,36 ac; neither lagoon nor manure; 12-day irrigation gap into silk on CEC 9.5
